"filename", "language", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\index.html", "HTML", 0, 0, 49, 4, 12, 65
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\login.css", "PostCSS", 0, 31, 0, 0, 7, 38
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\login.js", "JavaScript", 189, 0, 0, 81, 44, 314
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\account\account.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\account\account.js", "JavaScript", 22, 0, 0, 12, 8, 42
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\account\index.html", "HTML", 0, 0, 35, 3, 13, 51
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\distributions\distributions.css", "PostCSS", 0, 170, 0, 5, 53, 228
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\distributions\distributions.js", "JavaScript", 189, 0, 0, 77, 53, 319
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\distributions\index.html", "HTML", 0, 0, 66, 4, 23, 93
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\expense\expense.css", "PostCSS", 0, 176, 0, 5, 57, 238
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\expense\expense.js", "JavaScript", 285, 0, 0, 83, 62, 430
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\expense\index.html", "HTML", 0, 0, 102, 6, 29, 137
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\help-page\help-page.css", "PostCSS", 0, 30, 0, 1, 12, 43
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\help-page\index.html", "HTML", 0, 0, 173, 3, 37, 213
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\home\home.css", "PostCSS", 0, 88, 0, 1, 31, 120
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\home\home.js", "JavaScript", 611, 0, 0, 113, 113, 837
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\home\index.html", "HTML", 0, 0, 64, 5, 26, 95
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\income\income.css", "PostCSS", 0, 176, 0, 5, 58, 239
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\income\income.js", "JavaScript", 285, 0, 0, 90, 62, 437
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\income\index.html", "HTML", 0, 0, 102, 7, 29, 138
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\notification\index.html", "HTML", 0, 0, 58, 5, 14, 77
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\notification\notification-handler.js", "JavaScript", 31, 0, 0, 7, 7, 45
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\notification\notification.css", "PostCSS", 0, 106, 0, 4, 35, 145
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\notification\notification.js", "JavaScript", 141, 0, 0, 68, 58, 267
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\notification\tooltip.css", "PostCSS", 0, 14, 0, 1, 4, 19
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\notification\tooltip.html", "HTML", 0, 0, 24, 1, 6, 31
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\notification\tooltip.js", "JavaScript", 7, 0, 0, 1, 4, 12
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\setup\index.html", "HTML", 0, 0, 146, 13, 51, 210
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\setup\setup.css", "PostCSS", 0, 43, 0, 1, 6, 50
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\setup\setup.js", "JavaScript", 215, 0, 0, 50, 57, 322
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\template-page\index.html", "HTML", 0, 0, 29, 1, 8, 38
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\template-page\template.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\pages\template-page\template.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\scripts\user-data.js", "JavaScript", 144, 0, 0, 82, 26, 252
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\styles\default.css", "PostCSS", 0, 74, 0, 4, 27, 105
"c:\GitHubRepos\Software_Engineering_Finance_Project\docs\test.js", "JavaScript", 55, 0, 0, 11, 14, 80
"c:\GitHubRepos\Software_Engineering_Finance_Project\tempCodeRunnerFile.js", "JavaScript", 3, 0, 0, 0, 0, 3
"Total", "-", 2177, 908, 848, 754, 1049, 5736